rank,image_path,image_file_name,selected,active_explanation_source,baseline_status,baseline_short_reason,baseline_detailed_reason,baseline_comparison_reason,baseline_tags,gemini_multimodal_status,gemini_multimodal_short_reason,gemini_multimodal_detailed_reason,gemini_multimodal_comparison_reason,gemini_multimodal_tags,vila_full_local_status,vila_full_local_short_reason,vila_full_local_detailed_reason,vila_full_local_comparison_reason,vila_full_local_tags
1,test_samples/KakaoTalk_20260330_180646779_11.jpg,KakaoTalk_20260330_180646779_11.jpg,True,baseline_acut,generated,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #1 with a final score of 0.623, staying 0.079 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.623). KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_10.jpg stayed closest in rank, yet technical quality kept this frame ahead.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
2,test_samples/KakaoTalk_20260330_180646779_10.jpg,KakaoTalk_20260330_180646779_10.jpg,True,baseline_acut,generated,The selector held this frame on technical quality; technical consistency created the clearest edge.,"Ranked #2 with a final score of 0.607, staying 0.063 above the cut line. Technical quality was the selector's clearest lever here, and technical consistency created most of the separation. The selector fell back to technical-only evidence (0.607). Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker.","Compared with KakaoTalk_20260330_180646779_11.jpg, the final score was slightly lower by 0.015, although technical quality was weaker. Against KakaoTalk_20260330_180646779_07.jpg, the clearest edge was technical quality.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
3,test_samples/KakaoTalk_20260330_180646779_07.jpg,KakaoTalk_20260330_180646779_07.jpg,True,baseline_acut,generated,"Selected on technical consistency, with technical quality keeping it ahead of nearby alternatives.","Ranked #3 with a final score of 0.592, staying 0.048 above the cut line. Technical quality was the selector's clearest lever here, and technical quality created most of the separation. The selector fell back to technical-only evidence (0.592). Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality.","Relative to KakaoTalk_20260330_180646779_12.jpg, the score edge was slightly higher by 0.013, driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_10.jpg stayed close overall.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
4,test_samples/KakaoTalk_20260330_180646779_12.jpg,KakaoTalk_20260330_180646779_12.jpg,True,baseline_acut,generated,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #4 with a final score of 0.579, staying 0.034 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.579). KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779.jpg stayed closest in rank, yet technical quality kept this frame ahead. Against KakaoTalk_20260330_180646779_07.jpg, the selector edge was narrow.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
5,test_samples/KakaoTalk_20260330_180646779.jpg,KakaoTalk_20260330_180646779.jpg,True,baseline_acut,generated,The selector held this frame on technical quality; technical quality created the clearest edge.,"Ranked #5 with a final score of 0.573, staying 0.029 above the cut line. The technical backbone stayed stronger through technical quality. The selector fell back to technical-only evidence (0.573). KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead.","KakaoTalk_20260330_180646779_06.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_12.jpg stayed close overall.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
6,test_samples/KakaoTalk_20260330_180646779_06.jpg,KakaoTalk_20260330_180646779_06.jpg,True,baseline_acut,generated,This frame stayed above the cut on technical consistency.,"Ranked #6 with a final score of 0.572, staying 0.027 above the cut line. The combined evidence stayed stronger through technical consistency than through any single rescue factor. Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The selector fell back to technical-only evidence (0.572).","Compared with KakaoTalk_20260330_180646779.jpg, the final score was roughly tied (-0.002), although technical quality was weaker. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg tilted on technical quality.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
7,test_samples/KakaoTalk_20260330_180646779_08.jpg,KakaoTalk_20260330_180646779_08.jpg,True,baseline_acut,generated,"The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #7 with a final score of 0.554, staying 0.010 above the cut line. This was a keepable but fragile pick because the positives were narrow rather than overwhelming. Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The selector fell back to technical-only evidence (0.554).","Relative to KakaoTalk_20260330_180646779_02.jpg, the score edge was roughly tied (+0.003), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_06.jpg stayed close overall.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
8,test_samples/KakaoTalk_20260330_180646779_02.jpg,KakaoTalk_20260330_180646779_02.jpg,True,baseline_acut,generated,"This frame cleared the cut by a small edge, mostly through technical quality.","Ranked #8 with a final score of 0.550, staying 0.006 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The selector fell back to technical-only evidence (0.550).","Relative to KakaoTalk_20260330_180646779_13.jpg, the score edge was roughly tied (+0.001), driven mostly by technical quality. The nearby comparison with KakaoTalk_20260330_180646779_08.jpg stayed close overall.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
9,test_samples/KakaoTalk_20260330_180646779_13.jpg,KakaoTalk_20260330_180646779_13.jpg,True,baseline_acut,generated,It stayed in on a narrow margin because technical consistency barely outweighed technical quality.,"Ranked #9 with a final score of 0.550, staying 0.005 above the cut line. It survived the cut line by holding a small edge on technical consistency while technical quality stayed softer. Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. The selector fell back to technical-only evidence (0.550).","Compared with KakaoTalk_20260330_180646779_02.jpg, the final score was roughly tied (-0.001), although technical quality was weaker. Against KakaoTalk_20260330_180646779_04.jpg, the clearest edge was technical quality.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
10,test_samples/KakaoTalk_20260330_180646779_04.jpg,KakaoTalk_20260330_180646779_04.jpg,True,baseline_acut,generated,"The A-cut kept it despite a thin margin, with technical quality just covering for weaker supporting cues.","Ranked #10 with a final score of 0.549, staying 0.005 above the cut line. The margin was slim, and technical quality only just covered for weaker weaker supporting cues. KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The selector fell back to technical-only evidence (0.549).","KakaoTalk_20260330_180646779_05.jpg stayed closest in rank, yet technical quality kept this frame ahead. The nearby comparison with KakaoTalk_20260330_180646779_13.jpg stayed close overall.","[""technical"",""technical quality"",""selector_reasoning""]",,,,,[],,,,,[]
