candidate_id,image_file_name,dataset_source,selection_band,selection_state,comment_type,visible_anchor_count,generic_phrase_count,specificity_pass,audit_flags
gemini__100__0__ava__middle_near_miss__43900.jpg__eedd2b005d,43900.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__1__ava__rejected_low__140804.jpg__5513c71a6f,140804.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__2__ava__rejected_low__306107.jpg__7fdedc565d,306107.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__3__ava__middle_near_miss__759788.jpg__a3ea5bd10c,759788.jpg,ava,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__4__ava__rejected_low__355962.jpg__274449dfe4,355962.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__5__ava__rejected_low__873886.jpg__a0ff8bfcf0,873886.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__6__aadb__selected_high__farm1_390_19566486463_54be501f77_b.jpg__414bc09962,farm1_390_19566486463_54be501f77_b.jpg,aadb,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__7__aadb__middle_near_miss__farm1_371_20182312601_7a8573bcd1_b.jpg__45ccb6fadd,farm1_371_20182312601_7a8573bcd1_b.jpg,aadb,middle_near_miss,near_miss,near_miss_feedback,1,0,False,['generic_only_wording']
gemini__100__8__aadb__selected_high__farm4_3782_20257244016_f48605817a_b.jpg__2c0252ab08,farm4_3782_20257244016_f48605817a_b.jpg,aadb,selected_high,selected,selected_explanation,5,0,True,[]
gemini__100__9__ava__selected_high__627234.jpg__ec7a3d0458,627234.jpg,ava,selected_high,selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__10__ava__rejected_low__800874.jpg__9c63159828,800874.jpg,ava,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__11__aadb__middle_near_miss__farm1_473_19950394178_9d13683d04_b.jpg__6104f864a1,farm1_473_19950394178_9d13683d04_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__12__aadb__middle_near_miss__farm1_282_20106795651_b191635c96_b.jpg__51f28ef4e5,farm1_282_20106795651_b191635c96_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__13__aadb__rejected_low__farm1_320_19663410093_b67f4d2cae_b.jpg__595b3c5760,farm1_320_19663410093_b67f4d2cae_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__14__aadb__rejected_low__farm1_377_19533066754_5a45600dfc_b.jpg__70017f7cfe,farm1_377_19533066754_5a45600dfc_b.jpg,aadb,rejected_low,not_selected,rejection_reason,8,1,True,[]
gemini__100__15__aadb__rejected_low__farm1_370_19653406514_0a41d444c3_b.jpg__4611c5416b,farm1_370_19653406514_0a41d444c3_b.jpg,aadb,rejected_low,not_selected,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
gemini__100__16__ava__selected_high__358718.jpg__090e77ecb0,358718.jpg,ava,selected_high,selected,selected_explanation,2,0,True,[]
gemini__100__17__aadb__middle_near_miss__farm1_333_20182676482_ef0bc18235_b.jpg__4fb1295d12,farm1_333_20182676482_ef0bc18235_b.jpg,aadb,middle_near_miss,near_miss,,0,0,False,"['json_invalid', 'missing_comment_type', 'missing_short_reason', 'missing_detailed_reason', 'comment_type_mismatch', 'generic_only_wording']"
