id,dataset_source,source_split,source_metadata_csv,source_image_path,image_path,image_file,width,height,aadb_score,aadb_relative_path,ava_mean_score,ava_vote_1,ava_dist_1,ava_vote_2,ava_dist_2,ava_vote_3,ava_dist_3,ava_vote_4,ava_dist_4,ava_vote_5,ava_dist_5,ava_vote_6,ava_dist_6,ava_vote_7,ava_dist_7,ava_vote_8,ava_dist_8,ava_vote_9,ava_dist_9,ava_vote_10,ava_dist_10,nima_mean_score,nima_unit_score,rgnet_score,alamp_score,available_models,weighted_aesthetic_score,balanced_comparison_score,score_delta_primary_minus_comparison,rank_primary,rank_comparison,rank_delta_primary_minus_comparison,primary_rank_percentile,selection_bucket,selected,teacher_subset_bucket,teacher_subset_id,teacher_comment_3line_raw,teacher_comment_3line,teacher_generation_error,teacher_worker_parse_mode,teacher_worker_raw_text,teacher_format_valid,teacher_clean_pre_audit,teacher_source_mode,teacher_model_name,teacher_comment_3line_original,teacher_comment_strength_line,teacher_comment_weakness_line,teacher_comment_verdict_line,teacher_audit_clean,teacher_repaired,teacher_worker_short_reason,teacher_worker_detailed_reason,teacher_worker_comparison_reason,teacher_worker_tags,teacher_worker_confidence
ava__train__339919.jpg__d3e6555b,ava,train,data/processed/ava/train.csv,data/raw/ava/images/339919.jpg,/home/omen_pc1/ava/images/339919.jpg,339919.jpg,640,466,,,6.248092,0.0,0.0,2.0,0.007634,3.0,0.01145,15.0,0.057252,60.0,0.229008,77.0,0.293893,58.0,0.221374,32.0,0.122137,10.0,0.038168,5.0,0.019084,5.656153,0.51735,0.390046,0.431517,"['alamp', 'nima', 'rgnet']",0.423512,0.42573,-0.002218,2518,2582,-64,0.839,rejected_low,False,rejected_low,teacher__12__ava__339919.jpg__cba8a43c,"Strength: the image captures a tender moment between two children, showcasing the bond and care shared by siblings.
Weakness: strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from.
Verdict: not selected because Strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from undercuts The image captures a tender moment between two children, showcasing the bond and care shared by siblings.","Strength: the image captures a tender moment between two children, showcasing the bond and care shared by siblings.
Weakness: strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from.
Verdict: not selected because Strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from undercuts The image captures a tender moment between two children, showcasing the bond and care shared by siblings.",,plain_text_fallback,"Strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings.
Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/NVILA-8B,"Strength: the image captures a tender moment between two children, showcasing the bond and care shared by siblings.
Weakness: strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from.
Verdict: not selected because Strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from undercuts The image captures a tender moment between two children, showcasing the bond and care shared by siblings.","Strength: the image captures a tender moment between two children, showcasing the bond and care shared by siblings.","Weakness: strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from.","Verdict: not selected because Strength: The image captures a tender moment between two children, showcasing the bond and care shared by siblings. Weakness: The overall composition of the image is cluttered with various objects, which distracts from the main subjects and detracts from undercuts The image captures a tender moment between two children, showcasing the bond and care shared by siblings.",True,False,,,,,
ava__train__699705.jpg__457aa110,ava,train,data/processed/ava/train.csv,data/raw/ava/images/699705.jpg,/home/omen_pc1/ava/images/699705.jpg,699705.jpg,640,494,,,5.311111,2.0,0.011111,3.0,0.016667,5.0,0.027778,33.0,0.183333,64.0,0.355556,44.0,0.244444,20.0,0.111111,5.0,0.027778,3.0,0.016667,1.0,0.005556,5.731375,0.525708,0.689493,0.637176,"['alamp', 'nima', 'rgnet']",0.646956,0.643998,0.002958,176,159,17,0.0583333333333333,selected_high,True,selected_high,teacher__15__ava__699705.jpg__ea135814,"Strength: selected: clean subject emphasis, busier background.
Weakness: 'Clean subject emphasis. Busier background.
Verdict: selected because selected: clean subject emphasis, busier background carries the frame despite 'Clean subject emphasis. Busier background.","Strength: selected: clean subject emphasis, busier background.
Weakness: 'Clean subject emphasis. Busier background.
Verdict: selected because selected: clean subject emphasis, busier background carries the frame despite 'Clean subject emphasis. Busier background.",,strict_json,"{
""short_reason"": ""selected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""short"": ""busier background"", 
""long"": ""clean subject emphasis.""
},
{
	""short"": null,
	""long"": null
}
]
}",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: selected: clean subject emphasis, busier background.
Weakness: 'Clean subject emphasis. Busier background.
Verdict: selected because selected: clean subject emphasis, busier background carries the frame despite 'Clean subject emphasis. Busier background.","Strength: selected: clean subject emphasis, busier background.",Weakness: 'Clean subject emphasis. Busier background.,"Verdict: selected because selected: clean subject emphasis, busier background carries the frame despite 'Clean subject emphasis. Busier background.",True,False,,,,,
ava__train__468537.jpg__0c322b57,ava,train,data/processed/ava/train.csv,data/raw/ava/images/468537.jpg,/home/omen_pc1/ava/images/468537.jpg,468537.jpg,418,620,,,5.446808,0.0,0.0,5.0,0.026596,6.0,0.031915,23.0,0.12234,72.0,0.382979,49.0,0.260638,17.0,0.090426,14.0,0.074468,1.0,0.005319,1.0,0.005319,5.931753,0.547973,0.477616,0.36861,"['alamp', 'nima', 'rgnet']",0.430149,0.444567,-0.014418,2447,2359,88,0.8153333333333334,rejected_low,False,rejected_low,teacher__17__ava__468537.jpg__5278d8a8,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",,field_recovery,"{
""short_reason"": ""rejected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis is strong. Busy background distracts from the clarity of the image.""],
""comparison_reason"": [
{
""short"": ""clean subject emphasis"",
""long"": ""strong subject emphasis in a clear photo with no distractions""
},
{",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: not selected because busier background undercuts clean subject emphasis.,True,False,,"""Clean subject emphasis is strong. Busy background distracts from the clarity of the image.",,[],
ava__train__912077.jpg__3f3f4a09,ava,train,data/processed/ava/train.csv,data/raw/ava/images/912077.jpg,/home/omen_pc1/ava/images/912077.jpg,912077.jpg,535,800,,,5.256,0.0,0.0,1.0,0.008,7.0,0.056,21.0,0.168,48.0,0.384,31.0,0.248,13.0,0.104,3.0,0.024,1.0,0.008,0.0,0.0,5.630537,0.514504,0.567627,0.369317,"['alamp', 'nima', 'rgnet']",0.46316,0.480335,-0.017175,1999,1789,210,0.666,middle_near_miss,False,middle_near_miss,teacher__18__ava__912077.jpg__bd56aa4f,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",,field_recovery,"{
""short_reason"": ""rejected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""short"": ""strong light, limited separation"",
""long"": ""busy street scene with cars and a bridge overpass in the foreground.""
},
{
	""short"": null,
	""",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: not selected because busier background undercuts clean subject emphasis.,True,False,,"""Clean subject emphasis. Busier background.",,[],
ava__train__898944.jpg__64d3023a,ava,train,data/processed/ava/train.csv,data/raw/ava/images/898944.jpg,/home/omen_pc1/ava/images/898944.jpg,898944.jpg,800,562,,,5.876289,1.0,0.005155,3.0,0.015464,3.0,0.015464,19.0,0.097938,44.0,0.226804,72.0,0.371134,28.0,0.14433,17.0,0.087629,6.0,0.030928,1.0,0.005155,5.411156,0.490128,0.551368,0.650507,"['alamp', 'nima', 'rgnet']",0.594813,0.581838,0.012975,424,497,-73,0.141,selected_high,True,selected_high,teacher__19__ava__898944.jpg__f97e4af3,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",,field_recovery,"{
""short_reason"": ""selected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""short"": ""busier background"", 
""long"": ""This image has a more distracting background than the other one.""
},
{
	""short"": null, 
	""long"": null",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: selected because clean subject emphasis carries the frame despite busier background.,True,False,,"""Clean subject emphasis. Busier background.",,[],
ava__train__90567.jpg__af05672d,ava,train,data/processed/ava/train.csv,data/raw/ava/images/90567.jpg,/home/omen_pc1/ava/images/90567.jpg,90567.jpg,406,640,,,5.230769,0.0,0.0,1.0,0.005495,13.0,0.071429,34.0,0.186813,62.0,0.340659,47.0,0.258242,18.0,0.098901,6.0,0.032967,1.0,0.005495,0.0,0.0,5.369041,0.485449,0.52203,0.480101,"['alamp', 'nima', 'rgnet']",0.497407,0.499771,-0.002364,1474,1490,-16,0.491,middle_near_miss,False,middle_near_miss,teacher__20__ava__90567.jpg__9220cca8,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",,field_recovery,"{
""short_reason"": ""rejected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis is strong. Busy background distracts from the main subject.""],
""comparison_reason"": [
{
""reason"": ""clean subject emphasis"",
""reason_strength"": 1,
""reason\_weakness"": ""busy background""
},
{",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: not selected because busier background undercuts clean subject emphasis.,True,False,,"""Clean subject emphasis is strong. Busy background distracts from the main subject.",,[],
ava__train__234740.jpg__273e18d3,ava,train,data/processed/ava/train.csv,data/raw/ava/images/234740.jpg,/home/omen_pc1/ava/images/234740.jpg,234740.jpg,478,640,,,6.509901,0.0,0.0,0.0,0.0,4.0,0.019802,14.0,0.069307,35.0,0.173267,59.0,0.292079,35.0,0.173267,32.0,0.158416,13.0,0.064356,10.0,0.049505,5.750517,0.527835,0.655767,0.558641,"['alamp', 'nima', 'rgnet']",0.594411,0.597727,-0.003316,430,371,59,0.143,selected_high,True,selected_high,teacher__21__ava__234740.jpg__246899c9,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",,field_recovery,"{
""short_reason"": ""selected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""short"": ""busy background"",
	""long"": ""The image has a busy background that takes away from the main subject of the photo.""
},
{
	""short"": null,
	""medium"":",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: selected because clean subject emphasis carries the frame despite busier background.,True,False,,"""Clean subject emphasis. Busier background.",,[],
aadb__train__farm1_456_19997008730_88ecb9ab04_b.jpg__c60dfbba,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_456_19997008730_88ecb9ab04_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_456_19997008730_88ecb9ab04_b.jpg,farm1_456_19997008730_88ecb9ab04_b.jpg,1024,685,0.55,farm1_456_19997008730_88ecb9ab04_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.732153,0.525795,0.529259,0.601276,"['alamp', 'nima', 'rgnet']",0.564921,0.557546,0.007375,663,718,-55,0.2206666666666666,selected_high,True,selected_high,teacher__22__aadb__farm1_456_19997008730_88ecb9ab04_b.jpg__c5d9d502,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",,field_recovery,"{
""short_reason"": ""selected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""shortReason"": ""busier background"", 
""dDetailReason"": [""Busier background.""]
},
{
	""shortReaon"": ""clean subject emphasis."",
	""dDetail",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: selected because clean subject emphasis carries the frame despite busier background.,True,False,,"""Clean subject emphasis. Busier background.",,[],
aadb__train__farm1_341_19711219273_c56cef839b_b.jpg__0b676b77,aadb,train,data/processed/aadb/train.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19711219273_c56cef839b_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_341_19711219273_c56cef839b_b.jpg,farm1_341_19711219273_c56cef839b_b.jpg,1024,768,0.55,farm1_341_19711219273_c56cef839b_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.695669,0.521741,0.559123,0.583705,"['alamp', 'nima', 'rgnet']",0.567676,0.563349,0.004327,630,664,-34,0.2096666666666666,selected_high,True,selected_high,teacher__23__aadb__farm1_341_19711219273_c56cef839b_b.jpg__7a9afe82,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",,strict_json,"{
""short_reason"": ""selected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis. Busier background.""],
""comparison_reason"": [
{
""short"": ""busier background"", 
""long"": ""clean subject emphasis.""
},
{
	""short"": null,
	""long"": null
}
]
}",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: selected because clean subject emphasis carries the frame despite busier background.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: selected because clean subject emphasis carries the frame despite busier background.,True,False,"selected: clean subject emphasis, busier background",'Clean subject emphasis. Busier background.,,[],
aadb__test__farm1_436_19928660899_cabcb63b83_b.jpg__bb176e37,aadb,test,data/processed/aadb/test.csv,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_436_19928660899_cabcb63b83_b.jpg,/home/omen_pc1/photo_score_project/data/raw/aadb/images/farm1_436_19928660899_cabcb63b83_b.jpg,farm1_436_19928660899_cabcb63b83_b.jpg,1024,683,0.575,farm1_436_19928660899_cabcb63b83_b.jpg,,,,,,,,,,,,,,,,,,,,,,5.310208,0.478912,0.587003,0.373367,"['alamp', 'nima', 'rgnet']",0.469376,0.485335,-0.015959,1908,1709,199,0.6356666666666667,middle_near_miss,False,middle_near_miss,teacher__24__aadb__farm1_436_19928660899_cabcb63b83_b.jpg__0091d9fa,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.","Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",,plain_text_fallback,"{
""short_reason"": ""rejected: clean subject emphasis, busier background"",
""detailed_reason"": [""Clean subject emphasis is strong. The children are sitting on the floor in a room with a table and chairs nearby.\n\nBackground:\nThe children are sitting in front of a table covered with a white cloth. There are other people seated at tables around them.\n\nthey are wearing color",True,True,local_vila_worker,/home/omen_pc1/photo_score_project/checkpoints/VILA1.5-3b,"Strength: clean subject emphasis.
Weakness: busier background.
Verdict: not selected because busier background undercuts clean subject emphasis.",Strength: clean subject emphasis.,Weakness: busier background.,Verdict: not selected because busier background undercuts clean subject emphasis.,True,False,,"{ ""short_reason"": ""rejected: clean subject emphasis, busier background"", ""detailed_reason"": [""Clean subject emphasis is strong. The children are sitting on the floor in a room with a table and chairs nearby.\n\nBackground:\nThe children are sitting in front of a table covered with a white cloth. There are other people seated at tables around them.\n\nthey are wearing color",,[],
